"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phi [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(dB(GainTotal)) []"""
2,0.5,1.5,0,9,8,5,7.1,3.69906305669699
2,0.5,1.5,0,9,8,5,7.2,3.67529395880978
2,0.5,1.5,0,9,8,5,7.3,3.63607622350564
2,0.5,1.5,0,9,8,5,7.4,3.58342573776516
2,0.5,1.5,0,9,8,5,7.5,3.53018024579579
2,0.5,1.5,0,9,8,5,7.6,3.54162127254815
2,0.5,1.5,0,9,8,5,7.7,3.55784194919625
2,0.5,1.5,0,9,8,5,7.8,3.55794232403854
2,0.5,1.5,0,9,8,5,7.9,3.54005333102059
2,0.5,1.5,0,9,8,5,8,3.57938437815826
2,0.5,1.5,0,9,8,5,8.1,3.67115300339248
2,0.5,1.5,0,9,8,5,8.2,3.7472442128805
2,0.5,1.5,0,9,8,5,8.3,3.80438364279441
2,0.5,1.5,0,9,8,5,8.4,3.83804982803274
2,0.5,1.5,0,9,8,5,8.5,3.84252621581946
2,0.5,1.5,0,9,8,5,8.6,3.81119534214047
2,0.5,1.5,0,9,8,5,8.7,3.73700207719625
2,0.5,1.5,0,9,8,5,8.8,3.63345693788881
2,0.5,1.5,0,9,8,5,8.9,3.47256968120659
2,0.5,1.5,0,9,8,5,9,3.2503915771184
2,0.5,1.5,0,9,8,5,9.1,2.96635151239528
2,0.5,1.5,0,9,8,5,9.2,2.62392168478355
2,0.5,1.5,0,9,8,5,9.3,2.730370053038
2,0.5,1.5,0,9,8,5,9.4,3.04093606439763
2,0.5,1.5,0,9,8,5,9.5,3.32980615101255
2,0.5,1.5,0,9,8,5,9.6,3.61233619212899
2,0.5,1.5,0,9,8,5,9.7,3.84418230691365
2,0.5,1.5,0,9,8,5,9.8,4.02847269832199
2,0.5,1.5,0,9,8,5,9.9,4.16756531852684
2,0.5,1.5,0,9,8,5,10,4.26199270673984
2,0.5,1.5,0,9,8,5,10.1,4.30962003474052
2,0.5,1.5,0,9,8,5,10.2,4.30533252906768
2,0.5,1.5,0,9,8,5,10.3,4.24177083558386
2,0.5,1.5,0,9,8,5,10.4,4.11197455454849
2,0.5,1.5,0,9,8,5,10.5,3.91510080841181
2,0.5,1.5,0,9,8,5,10.6,3.66550969031127
-2,0.5,1.5,0,9,12,5,0.6,-13.4517791761031
-2,0.5,1.5,0,9,12,5,0.7,-11.3958535490747
-2,0.5,1.5,0,9,12,5,0.8,-9.60173076384362
-2,0.5,1.5,0,9,12,5,0.9,-8.01016757131983
-2,0.5,1.5,0,9,12,5,1,-6.58364511149451
-2,0.5,1.5,0,9,12,5,1.1,-5.29755951832077
-2,0.5,1.5,0,9,12,5,1.2,-4.13639168404373
-2,0.5,1.5,0,9,12,5,1.3,-3.09091933751462
-2,0.5,1.5,0,9,12,5,1.4,-2.15553798755954
-2,0.5,1.5,0,9,12,5,1.5,-1.32777258581221
-2,0.5,1.5,0,9,12,5,1.6,-0.605831237357091
-2,0.5,1.5,0,9,12,5,1.7,0.0124760374957662
-2,0.5,1.5,0,9,12,5,1.8,0.53001584056674
-2,0.5,1.5,0,9,12,5,1.9,0.951748420585791
-2,0.5,1.5,0,9,12,5,2,1.2846605893193
-2,0.5,1.5,0,9,12,5,2.1,1.53756664383064
-2,0.5,1.5,0,9,12,5,2.2,1.72061150790208
-2,0.5,1.5,0,9,12,5,2.3,1.8446333956121
-2,0.5,1.5,0,9,12,5,2.4,1.92071301318098
-2,0.5,1.5,0,9,12,5,2.5,1.95935851030625
-2,0.5,1.5,0,9,12,5,2.6,1.97072662947994
-2,0.5,1.5,0,9,12,5,2.7,1.96421848073836
-2,0.5,1.5,0,9,12,5,2.8,1.94781152548763
-2,0.5,1.5,0,9,12,5,2.9,1.92895408526573
-2,0.5,1.5,0,9,12,5,3,1.91199412583689
-2,0.5,1.5,0,9,12,5,3.1,1.90129489609455
-2,0.5,1.5,0,9,12,5,3.2,1.90067045210434
-2,0.5,1.5,0,9,12,5,3.3,1.91083712006536
-2,0.5,1.5,0,9,12,5,3.4,1.93235219297995
-2,0.5,1.5,0,9,12,5,3.5,1.96472593600343
-2,0.5,1.5,0,9,12,5,3.6,2.00656312459691
-2,0.5,1.5,0,9,12,5,3.7,2.05573541225568
-2,0.5,1.5,0,9,12,5,3.8,2.10956921372816
-2,0.5,1.5,0,9,12,5,3.9,2.16502962979658
-2,0.5,1.5,0,9,12,5,4,2.22160909745923
-2,0.5,1.5,0,9,12,5,4.1,2.275386820994
-2,0.5,1.5,0,9,12,5,4.2,2.32556008796748
-2,0.5,1.5,0,9,12,5,4.3,2.37199281906594
-2,0.5,1.5,0,9,12,5,4.4,2.41842108281531
-2,0.5,1.5,0,9,12,5,4.5,2.45572917522841
-2,0.5,1.5,0,9,12,5,4.6,2.48635414738904
-2,0.5,1.5,0,9,12,5,4.7,2.49746809446559
-2,0.5,1.5,0,9,12,5,4.8,2.48558180699531
-2,0.5,1.5,0,9,12,5,4.9,2.45959471650251
-2,0.5,1.5,0,9,12,5,5,2.41882438073351
-2,0.5,1.5,0,9,12,5,5.1,2.38135148606825
-2,0.5,1.5,0,9,12,5,5.2,2.36469078203159
-2,0.5,1.5,0,9,12,5,5.3,2.3719941386484
-2,0.5,1.5,0,9,12,5,5.4,2.39212564228302
-2,0.5,1.5,0,9,12,5,5.5,2.41077778210802
-2,0.5,1.5,0,9,12,5,5.6,2.41788423437693
-2,0.5,1.5,0,9,12,5,5.7,2.45759020761313
-2,0.5,1.5,0,9,12,5,5.8,2.51299547459947
-2,0.5,1.5,0,9,12,5,5.9,2.56715260588105
-2,0.5,1.5,0,9,12,5,6,2.62026814281467
-2,0.5,1.5,0,9,12,5,6.1,2.67227800934439
-2,0.5,1.5,0,9,12,5,6.2,2.72285704306594
-2,0.5,1.5,0,9,12,5,6.3,2.77155392620764
-2,0.5,1.5,0,9,12,5,6.4,2.81797402735191
-2,0.5,1.5,0,9,12,5,6.5,2.86195917280864
-2,0.5,1.5,0,9,12,5,6.6,2.90373055611496
-2,0.5,1.5,0,9,12,5,6.7,2.94397083399542
-2,0.5,1.5,0,9,12,5,6.8,3.05323835293392
-2,0.5,1.5,0,9,12,5,6.9,3.22209784594029
-2,0.5,1.5,0,9,12,5,7,3.39028078379229
-2,0.5,1.5,0,9,12,5,7.1,3.55201086987425
-2,0.5,1.5,0,9,12,5,7.2,3.69338962400402
-2,0.5,1.5,0,9,12,5,7.3,3.81410850323661
-2,0.5,1.5,0,9,12,5,7.4,3.9414648816324
-2,0.5,1.5,0,9,12,5,7.5,4.0427342178578
-2,0.5,1.5,0,9,12,5,7.6,4.11366965540428
-2,0.5,1.5,0,9,12,5,7.7,4.17516853408845
-2,0.5,1.5,0,9,12,5,7.8,4.2135810339146
-2,0.5,1.5,0,9,12,5,7.9,4.21121696137853
-2,0.5,1.5,0,9,12,5,8,4.16375365155124
-2,0.5,1.5,0,9,12,5,8.1,4.08896287660477
-2,0.5,1.5,0,9,12,5,8.2,3.98470484182437
-2,0.5,1.5,0,9,12,5,8.3,3.82993511205791
-2,0.5,1.5,0,9,12,5,8.4,3.66485196613677
-2,0.5,1.5,0,9,12,5,8.5,3.4633981044202
-2,0.5,1.5,0,9,12,5,8.6,3.25726367594523
-2,0.5,1.5,0,9,12,5,8.7,3.02104267244517
-2,0.5,1.5,0,9,12,5,8.8,2.74474265246006
-2,0.5,1.5,0,9,12,5,8.9,2.45302727785715
-2,0.5,1.5,0,9,12,5,9,2.17031953391542
-2,0.5,1.5,0,9,12,5,9.1,1.87656061231074
-2,0.5,1.5,0,9,12,5,9.2,1.58402326651255
-2,0.5,1.5,0,9,12,5,9.3,1.55951952653188
-2,0.5,1.5,0,9,12,5,9.4,1.5909234323684
-2,0.5,1.5,0,9,12,5,9.5,1.62046178991334
-2,0.5,1.5,0,9,12,5,9.6,1.63972028134374
-2,0.5,1.5,0,9,12,5,9.7,1.6416193485954
-2,0.5,1.5,0,9,12,5,9.8,1.62030177419594
-2,0.5,1.5,0,9,12,5,9.9,1.58348533678454
-2,0.5,1.5,0,9,12,5,10,1.52403400562676
-2,0.5,1.5,0,9,12,5,10.1,1.40156414335314
-2,0.5,1.5,0,9,12,5,10.2,1.24953076843572
-2,0.5,1.5,0,9,12,5,10.3,1.25043846358608
-2,0.5,1.5,0,9,12,5,10.4,1.31233177376968
-2,0.5,1.5,0,9,12,5,10.5,1.37006888868547
-2,0.5,1.5,0,9,12,5,10.6,1.40791719005633
2,0.5,1.5,0,9,12,5,0.6,-13.8360320264552
2,0.5,1.5,0,9,12,5,0.7,-11.8191801587917
2,0.5,1.5,0,9,12,5,0.8,-10.0683455291789
2,0.5,1.5,0,9,12,5,0.9,-8.52286434294669
2,0.5,1.5,0,9,12,5,1,-7.1426772646168
2,0.5,1.5,0,9,12,5,1.1,-5.90134865277769
2,0.5,1.5,0,9,12,5,1.2,-4.78052260635683
2,0.5,1.5,0,9,12,5,1.3,-3.76778499854704
2,0.5,1.5,0,9,12,5,1.4,-2.85527736718312
2,0.5,1.5,0,9,12,5,1.5,-2.03715962894544
2,0.5,1.5,0,9,12,5,1.6,-1.31032245994062
2,0.5,1.5,0,9,12,5,1.7,-0.671723432686318
2,0.5,1.5,0,9,12,5,1.8,-0.118933505498903
2,0.5,1.5,0,9,12,5,1.9,0.351168407035088
2,0.5,1.5,0,9,12,5,2,0.742769992952423
2,0.5,1.5,0,9,12,5,2.1,1.06090116139032
2,0.5,1.5,0,9,12,5,2.2,1.3123574402176
2,0.5,1.5,0,9,12,5,2.3,1.50433319092669
2,0.5,1.5,0,9,12,5,2.4,1.64561494041478
2,0.5,1.5,0,9,12,5,2.5,1.74425120273863
2,0.5,1.5,0,9,12,5,2.6,1.80983929935929
2,0.5,1.5,0,9,12,5,2.7,1.85044757806162
2,0.5,1.5,0,9,12,5,2.8,1.87384897228885
2,0.5,1.5,0,9,12,5,2.9,1.88725838249534
2,0.5,1.5,0,9,12,5,3,1.89692574356737
2,0.5,1.5,0,9,12,5,3.1,1.90798511395667
2,0.5,1.5,0,9,12,5,3.2,1.92434829938701
2,0.5,1.5,0,9,12,5,3.3,1.94864941441303
2,0.5,1.5,0,9,12,5,3.4,1.9822488063555
2,0.5,1.5,0,9,12,5,3.5,2.0252996889452
2,0.5,1.5,0,9,12,5,3.6,2.07687449943401
2,0.5,1.5,0,9,12,5,3.7,2.13513836862138
2,0.5,1.5,0,9,12,5,3.8,2.19755109959321
2,0.5,1.5,0,9,12,5,3.9,2.26107325253435
2,0.5,1.5,0,9,12,5,4,2.32235429542361
2,0.5,1.5,0,9,12,5,4.1,2.37787958981031
2,0.5,1.5,0,9,12,5,4.2,2.42405626221502
2,0.5,1.5,0,9,12,5,4.3,2.45721583025043
2,0.5,1.5,0,9,12,5,4.4,2.475693730584
2,0.5,1.5,0,9,12,5,4.5,2.47752252485554
2,0.5,1.5,0,9,12,5,4.6,2.45438654583298
2,0.5,1.5,0,9,12,5,4.7,2.4115358742071
2,0.5,1.5,0,9,12,5,4.8,2.3434804898248
2,0.5,1.5,0,9,12,5,4.9,2.31307517448271
2,0.5,1.5,0,9,12,5,5,2.29097657751461
2,0.5,1.5,0,9,12,5,5.1,2.29512226101162
2,0.5,1.5,0,9,12,5,5.2,2.34285889780881
2,0.5,1.5,0,9,12,5,5.3,2.41796258746393
2,0.5,1.5,0,9,12,5,5.4,2.47587533551656
2,0.5,1.5,0,9,12,5,5.5,2.51221343485439
2,0.5,1.5,0,9,12,5,5.6,2.56834326881538
2,0.5,1.5,0,9,12,5,5.7,2.62721236601648
2,0.5,1.5,0,9,12,5,5.8,2.68561962532789
2,0.5,1.5,0,9,12,5,5.9,2.74399308608435
2,0.5,1.5,0,9,12,5,6,2.80191608763513
2,0.5,1.5,0,9,12,5,6.1,2.85825988953732
2,0.5,1.5,0,9,12,5,6.2,2.91141896213342
2,0.5,1.5,0,9,12,5,6.3,2.95958909370944
2,0.5,1.5,0,9,12,5,6.4,3.00103929541217
2,0.5,1.5,0,9,12,5,6.5,3.03434383088434
2,0.5,1.5,0,9,12,5,6.6,3.06162598408903
2,0.5,1.5,0,9,12,5,6.7,3.10413589930847
2,0.5,1.5,0,9,12,5,6.8,3.15630202559067
2,0.5,1.5,0,9,12,5,6.9,3.22582465932025
2,0.5,1.5,0,9,12,5,7,3.29663268072884
2,0.5,1.5,0,9,12,5,7.1,3.38118155424529
2,0.5,1.5,0,9,12,5,7.2,3.45354489784825
