"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
2,0.5,1.5,0,9,8,5,5.3,9.77598827318819
2,0.5,1.5,0,9,8,5,5.4,9.95606261693326
2,0.5,1.5,0,9,8,5,5.5,10.1406984557054
2,0.5,1.5,0,9,8,5,5.6,10.3296271939534
2,0.5,1.5,0,9,8,5,5.7,10.5223473681534
2,0.5,1.5,0,9,8,5,5.8,10.7184743363184
2,0.5,1.5,0,9,8,5,5.9,10.9175266533916
2,0.5,1.5,0,9,8,5,6,11.1191287513198
2,0.5,1.5,0,9,8,5,6.1,11.322799048631
2,0.5,1.5,0,9,8,5,6.2,11.5279934702146
2,0.5,1.5,0,9,8,5,6.3,11.7341207214636
2,0.5,1.5,0,9,8,5,6.4,11.9405893091916
2,0.5,1.5,0,9,8,5,6.5,12.146756613449
2,0.5,1.5,0,9,8,5,6.6,12.3519606678694
2,0.5,1.5,0,9,8,5,6.7,12.5555438872496
2,0.5,1.5,0,9,8,5,6.8,12.7569177882618
2,0.5,1.5,0,9,8,5,6.9,12.9555138018272
2,0.5,1.5,0,9,8,5,7,13.1507437784456
2,0.5,1.5,0,9,8,5,7.1,13.3420819859434
2,0.5,1.5,0,9,8,5,7.2,13.529174201966
2,0.5,1.5,0,9,8,5,7.3,13.7117014657171
2,0.5,1.5,0,9,8,5,7.4,13.8894097875179
2,0.5,1.5,0,9,8,5,7.5,14.0621732368608
2,0.5,1.5,0,9,8,5,7.6,14.2297284463108
2,0.5,1.5,0,9,8,5,7.7,14.3919326246218
2,0.5,1.5,0,9,8,5,7.8,14.5489766352583
2,0.5,1.5,0,9,8,5,7.9,14.7008760815595
2,0.5,1.5,0,9,8,5,8,14.8477192311561
2,0.5,1.5,0,9,8,5,8.1,14.9896657806554
2,0.5,1.5,0,9,8,5,8.2,15.1268127460545
