"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
2,0.5,1.5,0,9,8,5,6.5,22.1903068412766
2,0.5,1.5,0,9,8,5,6.6,22.4900155122778
2,0.5,1.5,0,9,8,5,6.7,22.7779951869089
2,0.5,1.5,0,9,8,5,6.8,23.0537038639187
2,0.5,1.5,0,9,8,5,6.9,23.3168811798197
2,0.5,1.5,0,9,8,5,7,23.5672746010865
2,0.5,1.5,0,9,8,5,7.1,23.8047475228168
2,0.5,1.5,0,9,8,5,7.2,24.0287831547214
2,0.5,1.5,0,9,8,5,7.3,24.2396056894177
2,0.5,1.5,0,9,8,5,7.4,24.4374415566048
2,0.5,1.5,0,9,8,5,7.5,24.6225079238495
2,0.5,1.5,0,9,8,5,7.6,24.7946402653936
2,0.5,1.5,0,9,8,5,7.7,24.9539760460822
2,0.5,1.5,0,9,8,5,7.8,25.1010017135001
2,0.5,1.5,0,9,8,5,7.9,25.2357757000767
2,0.5,1.5,0,9,8,5,8,25.3584861405318
2,0.5,1.5,0,9,8,5,8.1,25.4695086392341
2,0.5,1.5,0,9,8,5,8.2,25.569242082994
2,0.5,1.5,0,9,8,5,8.3,25.6582673731559
2,0.5,1.5,0,9,8,5,8.4,25.7372673415126
2,0.5,1.5,0,9,8,5,8.5,25.8069363808364
2,0.5,1.5,0,9,8,5,8.6,25.8680317754732
2,0.5,1.5,0,9,8,5,8.7,25.9216895803585
2,0.5,1.5,0,9,8,5,8.8,25.9690805419291
2,0.5,1.5,0,9,8,5,8.9,26.0110113905882
2,0.5,1.5,0,9,8,5,9,26.0486143013579
2,0.5,1.5,0,9,8,5,9.1,26.0828177316031
2,0.5,1.5,0,9,8,5,9.2,26.1144114654392
2,0.5,1.5,0,9,8,5,9.3,26.1442719859052
2,0.5,1.5,0,9,8,5,9.4,26.1736066739562
2,0.5,1.5,0,9,8,5,9.5,26.202983579726
2,0.5,1.5,0,9,8,5,9.6,26.2329053387678
2,0.5,1.5,0,9,8,5,9.7,26.2639334714586
2,0.5,1.5,0,9,8,5,9.8,26.2965135853623
2,0.5,1.5,0,9,8,5,9.9,26.3311820943583
2,0.5,1.5,0,9,8,5,10,26.3684497614985
2,0.5,1.5,0,9,8,5,10.1,26.4088168261574
2,0.5,1.5,0,9,8,5,10.2,26.4527374733402
2,0.5,1.5,0,9,8,5,10.3,26.5005741507055
2,0.5,1.5,0,9,8,5,10.4,26.5525147997898
2,0.5,1.5,0,9,8,5,10.5,26.6091238296229
2,0.5,1.5,0,9,8,5,10.6,26.6709102374337
-2,0.5,1.5,0,9,12,5,0.6,1.67415194303083
-2,0.5,1.5,0,9,12,5,0.7,1.67013160794562
-2,0.5,1.5,0,9,12,5,0.8,1.72705717208092
-2,0.5,1.5,0,9,12,5,0.9,1.85021709785015
-2,0.5,1.5,0,9,12,5,1,2.04556315379881
-2,0.5,1.5,0,9,12,5,1.1,2.26958260084193
-2,0.5,1.5,0,9,12,5,1.2,2.56679292452779
-2,0.5,1.5,0,9,12,5,1.3,2.90142760097885
-2,0.5,1.5,0,9,12,5,1.4,3.23782941062645
-2,0.5,1.5,0,9,12,5,1.5,3.6188397076415
-2,0.5,1.5,0,9,12,5,1.6,4.00985685407925
-2,0.5,1.5,0,9,12,5,1.7,4.41651396146012
-2,0.5,1.5,0,9,12,5,1.8,4.83983666656665
-2,0.5,1.5,0,9,12,5,1.9,5.26561297599335
-2,0.5,1.5,0,9,12,5,2,5.71180985605087
-2,0.5,1.5,0,9,12,5,2.1,6.16378290028332
-2,0.5,1.5,0,9,12,5,2.2,6.6188623562102
