"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phi [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(dB(GainTotal)) []"""
-2,0.5,1.5,0,9,12,5,2.6,-15.786026414335
-2,0.5,1.5,0,9,12,5,2.7,-15.7794215721878
-2,0.5,1.5,0,9,12,5,2.8,-15.8092220489664
-2,0.5,1.5,0,9,12,5,2.9,-15.8303057483419
-2,0.5,1.5,0,9,12,5,3,-15.8027303978829
-2,0.5,1.5,0,9,12,5,3.1,-15.8046904997187
-2,0.5,1.5,0,9,12,5,3.2,-15.699627607945
-2,0.5,1.5,0,9,12,5,3.3,-15.58087453057
-2,0.5,1.5,0,9,12,5,3.4,-15.401438040681
-2,0.5,1.5,0,9,12,5,3.5,-15.1487572290432
-2,0.5,1.5,0,9,12,5,3.6,-14.9195168504287
-2,0.5,1.5,0,9,12,5,3.7,-14.6231323018416
-2,0.5,1.5,0,9,12,5,3.8,-14.3309938292398
-2,0.5,1.5,0,9,12,5,3.9,-14.0135615485928
-2,0.5,1.5,0,9,12,5,4,-13.6697315903068
-2,0.5,1.5,0,9,12,5,4.1,-13.3161493365091
-2,0.5,1.5,0,9,12,5,4.2,-12.985878203607
-2,0.5,1.5,0,9,12,5,4.3,-12.6689697972659
-2,0.5,1.5,0,9,12,5,4.4,-12.3775793844167
-2,0.5,1.5,0,9,12,5,4.5,-12.117034808659
-2,0.5,1.5,0,9,12,5,4.6,-11.8822639872306
-2,0.5,1.5,0,9,12,5,4.7,-11.6780795148557
-2,0.5,1.5,0,9,12,5,4.8,-11.4894850302494
-2,0.5,1.5,0,9,12,5,4.9,-11.3193060706485
-2,0.5,1.5,0,9,12,5,5,-11.1797563090655
-2,0.5,1.5,0,9,12,5,5.1,-11.0605079566486
-2,0.5,1.5,0,9,12,5,5.2,-10.960722038556
-2,0.5,1.5,0,9,12,5,5.3,-10.8633420685381
-2,0.5,1.5,0,9,12,5,5.4,-10.774359427147
-2,0.5,1.5,0,9,12,5,5.5,-10.6824320553481
-2,0.5,1.5,0,9,12,5,5.6,-10.5886112079964
-2,0.5,1.5,0,9,12,5,5.7,-10.4974113324755
-2,0.5,1.5,0,9,12,5,5.8,-10.4113853056549
-2,0.5,1.5,0,9,12,5,5.9,-10.3211284615697
-2,0.5,1.5,0,9,12,5,6,-10.2325051155291
-2,0.5,1.5,0,9,12,5,6.1,-10.150634529842
-2,0.5,1.5,0,9,12,5,6.2,-10.0740884048063
-2,0.5,1.5,0,9,12,5,6.3,-9.99816755906017
-2,0.5,1.5,0,9,12,5,6.4,-9.92121344421631
-2,0.5,1.5,0,9,12,5,6.5,-9.84574591292079
-2,0.5,1.5,0,9,12,5,6.6,-9.78275605201604
-2,0.5,1.5,0,9,12,5,6.7,-9.7333147506613
-2,0.5,1.5,0,9,12,5,6.8,-9.69579929781442
-2,0.5,1.5,0,9,12,5,6.9,-9.66120570857422
-2,0.5,1.5,0,9,12,5,7,-9.62285157325967
-2,0.5,1.5,0,9,12,5,7.1,-9.59104591172368
-2,0.5,1.5,0,9,12,5,7.2,-9.56741575457539
-2,0.5,1.5,0,9,12,5,7.3,-9.54974373387264
-2,0.5,1.5,0,9,12,5,7.4,-9.53210741644367
-2,0.5,1.5,0,9,12,5,7.5,-9.51911028613536
-2,0.5,1.5,0,9,12,5,7.6,-9.49848019734152
-2,0.5,1.5,0,9,12,5,7.7,-9.47819397032261
-2,0.5,1.5,0,9,12,5,7.8,-9.46153351879633
-2,0.5,1.5,0,9,12,5,7.9,-9.44947967018974
-2,0.5,1.5,0,9,12,5,8,-9.43364903002565
-2,0.5,1.5,0,9,12,5,8.1,-9.41613799309895
-2,0.5,1.5,0,9,12,5,8.2,-9.39296260770906
-2,0.5,1.5,0,9,12,5,8.3,-9.36955149823544
-2,0.5,1.5,0,9,12,5,8.4,-9.34541094908265
-2,0.5,1.5,0,9,12,5,8.5,-9.3240442762987
-2,0.5,1.5,0,9,12,5,8.6,-9.30860635832305
-2,0.5,1.5,0,9,12,5,8.7,-9.30564429881253
-2,0.5,1.5,0,9,12,5,8.8,-9.32093358298198
-2,0.5,1.5,0,9,12,5,8.9,-9.3516177162284
-2,0.5,1.5,0,9,12,5,9,-9.39227922047018
-2,0.5,1.5,0,9,12,5,9.1,-9.44251901586717
-2,0.5,1.5,0,9,12,5,9.2,-9.50538586380255
-2,0.5,1.5,0,9,12,5,9.3,-9.58382591860738
-2,0.5,1.5,0,9,12,5,9.4,-9.68315953190008
-2,0.5,1.5,0,9,12,5,9.5,-9.78312308696289
-2,0.5,1.5,0,9,12,5,9.6,-9.88926507716388
-2,0.5,1.5,0,9,12,5,9.7,-9.9997631140648
-2,0.5,1.5,0,9,12,5,9.8,-10.114028535963
-2,0.5,1.5,0,9,12,5,9.9,-10.2181478166788
-2,0.5,1.5,0,9,12,5,10,-10.312640507964
-2,0.5,1.5,0,9,12,5,10.1,-10.40797158586
-2,0.5,1.5,0,9,12,5,10.2,-10.4860582829164
-2,0.5,1.5,0,9,12,5,10.3,-10.5471445631562
-2,0.5,1.5,0,9,12,5,10.4,-10.5830613826302
-2,0.5,1.5,0,9,12,5,10.5,-10.5104772917324
-2,0.5,1.5,0,9,12,5,10.6,-10.4476257079276
2,0.5,1.5,0,9,12,5,0.6,-28.9410248013498
2,0.5,1.5,0,9,12,5,0.7,-27.2888788419028
2,0.5,1.5,0,9,12,5,0.8,-25.9899824089407
2,0.5,1.5,0,9,12,5,0.9,-24.7073551671898
2,0.5,1.5,0,9,12,5,1,-23.6665793207584
2,0.5,1.5,0,9,12,5,1.1,-22.7327789126041
